"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0,0.1145,0
6.2669e+20,1,4e-06,4e-06,0.1145,0
6.252e+20,1,8e-06,8e-06,0.1145,0
6.2372e+20,1,1.2e-05,1.2e-05,0.1145,0
6.2224e+20,1,1.6e-05,1.6e-05,0.1145,0
6.2075e+20,1,2e-05,2e-05,0.1145,0
6.1919e+20,1,2.4e-05,2.4e-05,0.1145,0
6.1771e+20,1,2.8e-05,2.8e-05,0.1145,0
6.1623e+20,1,3.2e-05,3.2e-05,0.1145,0
6.1475e+20,1,3.6e-05,3.6e-05,0.1145,0
6.1327e+20,1,4e-05,4e-05,0.1145,0
6.1179e+20,1,4.4e-05,4.4e-05,0.1145,0
6.1031e+20,1,4.8e-05,4.8e-05,0.1145,0
6.0883e+20,1,5.2e-05,5.2e-05,0.1145,0
6.0735e+20,1,5.6e-05,5.6e-05,0.1145,0
6.0587e+20,1,6e-05,6e-05,0.1145,0
6.0438e+20,1,6.4e-05,6.4e-05,0.1145,0
6.029e+20,1,6.8e-05,6.8e-05,0.1145,0
6.0142e+20,1,7.2e-05,7.2e-05,0.1145,0
5.9994e+20,1,7.6e-05,7.6e-05,0.1145,0
5.9846e+20,1,8e-05,8e-05,0.1145,0
5.9698e+20,1,8.4e-05,8.4e-05,0.1145,0
5.955e+20,1,8.8e-05,8.8e-05,0.1145,0
5.9402e+20,1,9.2e-05,9.2e-05,0.1145,0
5.9254e+20,1,9.6e-05,9.6e-05,0.1145,0
5.9106e+20,1,0.0001,0.0001,0.1145,0
5.8958e+20,1,0.000104,0.000104,0.1145,0
5.881e+20,1,0.000108,0.000108,0.1145,0
5.8662e+20,1,0.000112,0.000112,0.1145,0
5.8514e+20,1,0.000116,0.000116,0.1145,0
5.8366e+20,1,0.00012,0.00012,0.1145,0
5.8218e+20,1,0.000124,0.000124,0.1145,0
5.807e+20,1,0.000128,0.000128,0.1145,0
5.792e+20,1,0.000132,0.000132,0.1145,0
5.7772e+20,1,0.000136,0.000136,0.1145,0
5.7624e+20,1,0.00014,0.00014,0.1145,0
5.7476e+20,1,0.000144,0.000144,0.1145,0
5.7329e+20,1,0.000148,0.000148,0.1145,0
5.7181e+20,1,0.000152,0.000152,0.1145,0
5.7033e+20,1,0.000156,0.000156,0.1145,0
5.6885e+20,1,0.00016,0.00016,0.1145,0
5.6737e+20,1,0.000164,0.000164,0.1145,0
5.6589e+20,1,0.000168,0.000168,0.1145,0
5.6441e+20,1,0.000172,0.000172,0.1145,0
5.6293e+20,1,0.000176,0.000176,0.1145,0
5.6145e+20,1,0.00018,0.00018,0.1145,0
5.5997e+20,1,0.000184,0.000184,0.1145,0
5.5849e+20,1,0.000188,0.000188,0.1145,0
5.5701e+20,1,0.000192,0.000192,0.1145,0
5.5553e+20,1,0.000196,0.000196,0.1145,0
5.5405e+20,1,0.0002,0.0002,0.1145,0
5.5257e+20,1,0.000204,0.000204,0.1145,0
5.5109e+20,1,0.000208,0.000208,0.1145,0
5.4961e+20,1,0.000212,0.000212,0.1145,0
5.4813e+20,1,0.000216,0.000216,0.1145,0
5.4665e+20,1,0.00022,0.00022,0.1145,0
5.4517e+20,1,0.000224,0.000224,0.1145,0
5.437e+20,1,0.000228,0.000228,0.1145,0
5.4227e+20,1,0.000232,0.000232,0.1145,0
5.408e+20,1,0.000236,0.000236,0.1145,0
5.3933e+20,1,0.00024,0.00024,0.1145,0
5.3785e+20,1,0.000244,0.000244,0.1145,0
5.3638e+20,1,0.000248,0.000248,0.1145,0
5.3491e+20,1,0.000252,0.000252,0.1145,0
5.3344e+20,1,0.000256,0.000256,0.1145,0
5.32e+20,1,0.00026,0.00026,0.1145,0
5.3053e+20,1,0.000264,0.000264,0.1145,0
5.2907e+20,1,0.000268,0.000268,0.1145,0
5.2761e+20,1,0.000272,0.000272,0.1145,0
5.2615e+20,1,0.000276,0.000276,0.1145,0
5.2469e+20,1,0.00028,0.00028,0.1145,0
5.2323e+20,1,0.000284,0.000284,0.1145,0
5.2177e+20,1,0.000288,0.000288,0.1145,0
5.2024e+20,1,0.000292,0.000292,0.1145,0
5.1878e+20,1,0.000296,0.000296,0.1145,0
5.1732e+20,1,0.0003,0.0003,0.1145,0
5.1586e+20,1,0.000304,0.000304,0.1145,0
5.1441e+20,1,0.000308,0.000308,0.1145,0
5.1295e+20,1,0.000312,0.000312,0.1145,0
5.1149e+20,1,0.000316,0.000316,0.1145,0
5.1004e+20,1,0.00032,0.00032,0.1145,0
5.0858e+20,1,0.000324,0.000324,0.1145,0
5.0712e+20,1,0.000328,0.000328,0.1145,0
5.0567e+20,1,0.000332,0.000332,0.1145,0
5.0421e+20,1,0.000336,0.000336,0.1145,0
5.0275e+20,1,0.00034,0.00034,0.1145,0
5.013e+20,1,0.000344,0.000344,0.1145,0
4.9984e+20,1,0.000348,0.000348,0.1145,0
4.9838e+20,1,0.000352,0.000352,0.1145,0
4.9692e+20,1,0.000356,0.000356,0.1145,0
4.9547e+20,1,0.00036,0.00036,0.1145,0
4.9401e+20,1,0.000364,0.000364,0.1145,0
4.9255e+20,1,0.000368,0.000368,0.1145,0
4.911e+20,1,0.000372,0.000372,0.1145,0
4.8964e+20,1,0.000376,0.000376,0.1145,0
4.8818e+20,1,0.00038,0.00038,0.1145,0
4.8673e+20,1,0.000384,0.000384,0.1145,0
4.8527e+20,1,0.000388,0.000388,0.1145,0
4.838e+20,1,0.000392,0.000392,0.1145,0
4.8236e+20,1,0.000396,0.000396,0.1145,0
4.8093e+20,1,0.0004,0.0004,0.1145,0
4.7949e+20,1,0.000404,0.000404,0.1145,0
4.7805e+20,1,0.000408,0.000408,0.1145,0
4.7662e+20,1,0.000412,0.000412,0.1145,0
4.7518e+20,1,0.000416,0.000416,0.1145,0
4.7374e+20,1,0.00042,0.00042,0.1145,0
4.7231e+20,1,0.000424,0.000424,0.1145,0
4.7087e+20,1,0.000428,0.000428,0.1145,0
4.6943e+20,1,0.000432,0.000432,0.1145,0
4.68e+20,1,0.000436,0.000436,0.1145,0
4.6656e+20,1,0.00044,0.00044,0.1145,0
4.6512e+20,1,0.000444,0.000444,0.1145,0
4.6369e+20,1,0.000448,0.000448,0.1145,0
4.6225e+20,1,0.000452,0.000452,0.1145,0
4.6081e+20,1,0.000456,0.000456,0.1145,0
4.5937e+20,1,0.00046,0.00046,0.1145,0
4.5794e+20,1,0.000464,0.000464,0.1145,0
4.565e+20,1,0.000468,0.000468,0.1145,0
4.5506e+20,1,0.000472,0.000472,0.1145,0
4.5363e+20,1,0.000476,0.000476,0.1145,0
4.5219e+20,1,0.00048,0.00048,0.1145,0
4.5075e+20,1,0.000484,0.000484,0.1145,0
4.4932e+20,1,0.000488,0.000488,0.1145,0
4.4793e+20,1,0.000492,0.000492,0.1145,0
4.465e+20,1,0.000496,0.000496,0.1145,0
4.4507e+20,1,0.0005,0.0005,0.1145,0
4.4365e+20,1,0.000504,0.000504,0.1145,0
4.4222e+20,1,0.000508,0.000508,0.1145,0
4.4079e+20,1,0.000512,0.000512,0.1145,0
4.3936e+20,1,0.000516,0.000516,0.1145,0
4.3793e+20,1,0.00052,0.00052,0.1145,0
4.365e+20,1,0.000524,0.000524,0.1145,0
4.3512e+20,1,0.000528,0.000528,0.1145,0
4.3372e+20,1,0.000532,0.000532,0.1145,0
4.3232e+20,1,0.000536,0.000536,0.1145,0
4.3091e+20,1,0.00054,0.00054,0.1145,0
4.2951e+20,1,0.000544,0.000544,0.1145,0
4.2811e+20,1,0.000548,0.000548,0.1145,0
4.2671e+20,1,0.000552,0.000552,0.1145,0
4.2531e+20,1,0.000556,0.000556,0.1145,0
4.2391e+20,1,0.00056,0.00056,0.1145,0
4.2245e+20,1,0.000564,0.000564,0.1145,0
4.2105e+20,1,0.000568,0.000568,0.1145,0
4.1966e+20,1,0.000572,0.000572,0.1145,0
4.1826e+20,1,0.000576,0.000576,0.1145,0
4.1687e+20,1,0.00058,0.00058,0.1145,0
4.1547e+20,1,0.000584,0.000584,0.1145,0
4.1407e+20,1,0.000588,0.000588,0.1145,0
4.1268e+20,1,0.000592,0.000592,0.1145,0
4.1128e+20,1,0.000596,0.000596,0.1145,0
4.0989e+20,1,0.0006,0.0006,0.1145,0
4.0849e+20,1,0.000604,0.000604,0.1145,0
4.071e+20,1,0.000608,0.000608,0.1145,0
4.057e+20,1,0.000612,0.000612,0.1145,0
4.0431e+20,1,0.000616,0.000616,0.1145,0
4.0291e+20,1,0.00062,0.00062,0.1145,0
4.0152e+20,1,0.000624,0.000624,0.1145,0
4.0012e+20,1,0.000628,0.000628,0.1145,0
3.9873e+20,1,0.000632,0.000632,0.1145,0
3.9733e+20,1,0.000636,0.000636,0.1145,0
3.9594e+20,1,0.00064,0.00064,0.1145,0
3.9454e+20,1,0.000644,0.000644,0.1145,0
3.9314e+20,1,0.000648,0.000648,0.1145,0
3.9175e+20,1,0.000652,0.000652,0.1145,0
3.9035e+20,1,0.000656,0.000656,0.1145,0
3.8895e+20,1,0.00066,0.00066,0.1145,0
3.8759e+20,1,0.000664,0.000664,0.1145,0
3.8623e+20,1,0.000668,0.000668,0.1145,0
3.8487e+20,1,0.000672,0.000672,0.1145,0
3.8351e+20,1,0.000676,0.000676,0.1145,0
3.8215e+20,1,0.00068,0.00068,0.1145,0
3.8079e+20,1,0.000684,0.000684,0.1145,0
3.7943e+20,1,0.000688,0.000688,0.1145,0
3.7807e+20,1,0.000692,0.000692,0.1145,0
3.7671e+20,1,0.000696,0.000696,0.1145,0
3.7535e+20,1,0.0007,0.0007,0.1145,0
3.7399e+20,1,0.000704,0.000704,0.1145,0
3.7263e+20,1,0.000708,0.000708,0.1145,0
3.7127e+20,1,0.000712,0.000712,0.1145,0
3.699e+20,1,0.000716,0.000716,0.1145,0
3.6854e+20,1,0.00072,0.00072,0.1145,0
3.6718e+20,1,0.000724,0.000724,0.1145,0
3.6582e+20,1,0.000728,0.000728,0.1145,0
3.6446e+20,1,0.000732,0.000732,0.1145,0
3.631e+20,1,0.000736,0.000736,0.1145,0
3.6174e+20,1,0.00074,0.00074,0.1145,0
3.6038e+20,1,0.000744,0.000744,0.1145,0
3.5902e+20,1,0.000748,0.000748,0.1145,0
3.577e+20,1,0.000752,0.000752,0.1145,0
3.5635e+20,1,0.000756,0.000756,0.1145,0
3.55e+20,1,0.00076,0.00076,0.1145,0
3.5364e+20,1,0.000764,0.000764,0.1145,0
3.5229e+20,1,0.000768,0.000768,0.1145,0
3.5094e+20,1,0.000772,0.000772,0.1145,0
3.4959e+20,1,0.000776,0.000776,0.1145,0
3.4823e+20,1,0.00078,0.00078,0.1145,0
3.4688e+20,1,0.000784,0.000784,0.1145,0
3.4553e+20,1,0.000788,0.000788,0.1145,0
3.4418e+20,1,0.000792,0.000792,0.1145,0
3.4288e+20,1,0.000796,0.000796,0.1145,0
3.4157e+20,1,0.0008,0.0008,0.1145,0
3.4026e+20,1,0.000804,0.000804,0.1145,0
3.3895e+20,1,0.000808,0.000808,0.1145,0
3.3763e+20,1,0.000812,0.000812,0.1145,0
3.3632e+20,1,0.000816,0.000816,0.1145,0
3.3501e+20,1,0.00082,0.00082,0.1145,0
3.337e+20,1,0.000824,0.000824,0.1145,0
3.3239e+20,1,0.000828,0.000828,0.1145,0
3.3107e+20,1,0.000832,0.000832,0.1145,0
3.2976e+20,1,0.000836,0.000836,0.1145,0
3.2845e+20,1,0.00084,0.00084,0.1145,0
3.271e+20,1,0.000844,0.000844,0.1145,0
3.2579e+20,1,0.000848,0.000848,0.1145,0
3.2448e+20,1,0.000852,0.000852,0.1145,0
3.2318e+20,1,0.000856,0.000856,0.1145,0
3.2187e+20,1,0.00086,0.00086,0.1145,0
3.2057e+20,1,0.000864,0.000864,0.1145,0
3.1926e+20,1,0.000868,0.000868,0.1145,0
3.1795e+20,1,0.000872,0.000872,0.1145,0
3.1665e+20,1,0.000876,0.000876,0.1145,0
3.1534e+20,1,0.00088,0.00088,0.1145,0
3.1404e+20,1,0.000884,0.000884,0.1145,0
3.1273e+20,1,0.000888,0.000888,0.1145,0
3.1142e+20,1,0.000892,0.000892,0.1145,0
3.1012e+20,1,0.000896,0.000896,0.1145,0
3.0881e+20,1,0.0009,0.0009,0.1145,0
3.0751e+20,1,0.000904,0.000904,0.1145,0
3.062e+20,1,0.000908,0.000908,0.1145,0
3.0489e+20,1,0.000912,0.000912,0.1145,0
3.0359e+20,1,0.000916,0.000916,0.1145,0
3.0228e+20,1,0.00092,0.00092,0.1145,0
3.0097e+20,1,0.000924,0.000924,0.1145,0
2.9967e+20,1,0.000928,0.000928,0.1145,0
2.9836e+20,1,0.000932,0.000932,0.1145,0
2.971e+20,1,0.000936,0.000936,0.1145,0
2.9584e+20,1,0.00094,0.00094,0.1145,0
2.9458e+20,1,0.000944,0.000944,0.1145,0
2.9332e+20,1,0.000948,0.000948,0.1145,0
2.9205e+20,1,0.000952,0.000952,0.1145,0
2.9079e+20,1,0.000956,0.000956,0.1145,0
2.8953e+20,1,0.00096,0.00096,0.1145,0
2.8827e+20,1,0.000964,0.000964,0.1145,0
2.8701e+20,1,0.000968,0.000968,0.1145,0
2.8575e+20,1,0.000972,0.000972,0.1145,0
2.8449e+20,1,0.000976,0.000976,0.1145,0
2.8323e+20,1,0.00098,0.00098,0.1145,0
2.8196e+20,1,0.000984,0.000984,0.1145,0
2.807e+20,1,0.000988,0.000988,0.1145,0
2.7944e+20,1,0.000992,0.000992,0.1145,0
2.7818e+20,1,0.000996,0.000996,0.1145,0
2.7692e+20,1,0.001,0.001,0.1145,0
2.7566e+20,1,0.001004,0.001004,0.1145,0
2.744e+20,1,0.001008,0.001008,0.1145,0
2.7315e+20,1,0.001012,0.001012,0.1145,0
2.719e+20,1,0.001016,0.001016,0.1145,0
2.7065e+20,1,0.00102,0.00102,0.1145,0
2.694e+20,1,0.001024,0.001024,0.1145,0
2.6814e+20,1,0.001028,0.001028,0.1145,0
2.6689e+20,1,0.001032,0.001032,0.1145,0
2.6564e+20,1,0.001036,0.001036,0.1145,0
2.6438e+20,1,0.00104,0.00104,0.1145,0
2.6313e+20,1,0.001044,0.001044,0.1145,0
2.6188e+20,1,0.001048,0.001048,0.1145,0
2.6063e+20,1,0.001052,0.001052,0.1145,0
2.5937e+20,1,0.001056,0.001056,0.1145,0
2.5812e+20,1,0.00106,0.00106,0.1145,0
2.5687e+20,1,0.001064,0.001064,0.1145,0
2.5562e+20,1,0.001068,0.001068,0.1145,0
2.5436e+20,1,0.001072,0.001072,0.1145,0
2.5316e+20,1,0.001076,0.001076,0.1145,0
2.5195e+20,1,0.00108,0.00108,0.1145,0
2.5074e+20,1,0.001084,0.001084,0.1145,0
2.4953e+20,1,0.001088,0.001088,0.1145,0
2.4832e+20,1,0.001092,0.001092,0.1145,0
2.4712e+20,1,0.001096,0.001096,0.1145,0
2.4591e+20,1,0.0011,0.0011,0.1145,0
2.447e+20,1,0.001104,0.001104,0.1145,0
2.4349e+20,1,0.001108,0.001108,0.1145,0
2.4228e+20,1,0.001112,0.001112,0.1145,0
2.4107e+20,1,0.001116,0.001116,0.1145,0
2.3987e+20,1,0.00112,0.00112,0.1145,0
2.3866e+20,1,0.001124,0.001124,0.1145,0
2.3745e+20,1,0.001128,0.001128,0.1145,0
2.3624e+20,1,0.001132,0.001132,0.1145,0
2.3503e+20,1,0.001136,0.001136,0.1145,0
2.3382e+20,1,0.00114,0.00114,0.1145,0
2.3262e+20,1,0.001144,0.001144,0.1145,0
2.3142e+20,1,0.001148,0.001148,0.1145,0
2.3022e+20,1,0.001152,0.001152,0.1145,0
2.2902e+20,1,0.001156,0.001156,0.1145,0
2.2782e+20,1,0.00116,0.00116,0.1145,0
2.2661e+20,1,0.001164,0.001164,0.1145,0
2.2541e+20,1,0.001168,0.001168,0.1145,0
2.2421e+20,1,0.001172,0.001172,0.1145,0
2.2301e+20,1,0.001176,0.001176,0.1145,0
2.2181e+20,1,0.00118,0.00118,0.1145,0
2.2061e+20,1,0.001184,0.001184,0.1145,0
2.194e+20,1,0.001188,0.001188,0.1145,0
2.182e+20,1,0.001192,0.001192,0.1145,0
2.17e+20,1,0.001196,0.001196,0.1145,0
2.158e+20,1,0.0012,0.0012,0.1145,0
2.146e+20,1,0.001204,0.001204,0.1145,0
2.1339e+20,1,0.001208,0.001208,0.1145,0
2.1221e+20,1,0.001212,0.001212,0.1145,0
2.1105e+20,1,0.001216,0.001216,0.1145,0
2.0989e+20,1,0.00122,0.00122,0.1145,0
2.0873e+20,1,0.001224,0.001224,0.1145,0
2.0757e+20,1,0.001228,0.001228,0.1145,0
2.0641e+20,1,0.001232,0.001232,0.1145,0
2.0524e+20,1,0.001236,0.001236,0.1145,0
2.0408e+20,1,0.00124,0.00124,0.1145,0
2.0292e+20,1,0.001244,0.001244,0.1145,0
2.0176e+20,1,0.001248,0.001248,0.1145,0
2.006e+20,1,0.001252,0.001252,0.1145,0
1.9944e+20,1,0.001256,0.001256,0.1145,0
1.9828e+20,1,0.00126,0.00126,0.1145,0
1.9711e+20,1,0.001264,0.001264,0.1145,0
1.9595e+20,1,0.001268,0.001268,0.1145,0
1.9479e+20,1,0.001272,0.001272,0.1145,0
1.9364e+20,1,0.001276,0.001276,0.1145,0
1.9248e+20,1,0.00128,0.00128,0.1145,0
1.9133e+20,1,0.001284,0.001284,0.1145,0
1.9018e+20,1,0.001288,0.001288,0.1145,0
1.8902e+20,1,0.001292,0.001292,0.1145,0
1.8787e+20,1,0.001296,0.001296,0.1145,0
1.8672e+20,1,0.0013,0.0013,0.1145,0
1.8556e+20,1,0.001304,0.001304,0.1145,0
1.8441e+20,1,0.001308,0.001308,0.1145,0
1.8326e+20,1,0.001312,0.001312,0.1145,0
1.821e+20,1,0.001316,0.001316,0.1145,0
1.8095e+20,1,0.00132,0.00132,0.1145,0
1.798e+20,1,0.001324,0.001324,0.1145,0
1.7864e+20,1,0.001328,0.001328,0.1145,0
1.7749e+20,1,0.001332,0.001332,0.1145,0
1.7634e+20,1,0.001336,0.001336,0.1145,0
1.7518e+20,1,0.00134,0.00134,0.1145,0
1.7406e+20,1,0.001344,0.001344,0.1145,0
1.7295e+20,1,0.001348,0.001348,0.1145,0
1.7183e+20,1,0.001352,0.001352,0.1145,0
1.7071e+20,1,0.001356,0.001356,0.1145,0
1.6959e+20,1,0.00136,0.00136,0.1145,0
1.6848e+20,1,0.001364,0.001364,0.1145,0
1.6736e+20,1,0.001368,0.001368,0.1145,0
1.6624e+20,1,0.001372,0.001372,0.1145,0
1.6512e+20,1,0.001376,0.001376,0.1145,0
1.6401e+20,1,0.00138,0.00138,0.1145,0
1.6289e+20,1,0.001384,0.001384,0.1145,0
1.6177e+20,1,0.001388,0.001388,0.1145,0
1.6065e+20,1,0.001392,0.001392,0.1145,0
