"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0,0.066032,0
3.9478e+20,1,4e-06,4e-06,0.066032,0
3.9401e+20,1,8e-06,8e-06,0.066032,0
3.9325e+20,1,1.2e-05,1.2e-05,0.066032,0
3.9245e+20,1,1.6e-05,1.6e-05,0.066032,0
3.9169e+20,1,2e-05,2e-05,0.066032,0
3.9093e+20,1,2.4e-05,2.4e-05,0.066032,0
3.9017e+20,1,2.8e-05,2.8e-05,0.066032,0
3.894e+20,1,3.2e-05,3.2e-05,0.066032,0
3.8864e+20,1,3.6e-05,3.6e-05,0.066032,0
3.8788e+20,1,4e-05,4e-05,0.066032,0
3.8712e+20,1,4.4e-05,4.4e-05,0.066032,0
3.8636e+20,1,4.8e-05,4.8e-05,0.066032,0
3.856e+20,1,5.2e-05,5.2e-05,0.066032,0
3.8483e+20,1,5.6e-05,5.6e-05,0.066032,0
3.8407e+20,1,6e-05,6e-05,0.066032,0
3.8331e+20,1,6.4e-05,6.4e-05,0.066032,0
3.8255e+20,1,6.8e-05,6.8e-05,0.066032,0
3.8179e+20,1,7.2e-05,7.2e-05,0.066032,0
3.8103e+20,1,7.6e-05,7.6e-05,0.066032,0
3.8026e+20,1,8e-05,8e-05,0.066032,0
3.795e+20,1,8.4e-05,8.4e-05,0.066032,0
3.7874e+20,1,8.8e-05,8.8e-05,0.066032,0
3.7798e+20,1,9.2e-05,9.2e-05,0.066032,0
3.7722e+20,1,9.6e-05,9.6e-05,0.066032,0
3.7646e+20,1,0.0001,0.0001,0.066032,0
3.7569e+20,1,0.000104,0.000104,0.066032,0
3.7493e+20,1,0.000108,0.000108,0.066032,0
3.7417e+20,1,0.000112,0.000112,0.066032,0
3.7341e+20,1,0.000116,0.000116,0.066032,0
3.7265e+20,1,0.00012,0.00012,0.066032,0
3.7189e+20,1,0.000124,0.000124,0.066032,0
3.7113e+20,1,0.000128,0.000128,0.066032,0
3.7036e+20,1,0.000132,0.000132,0.066032,0
3.6959e+20,1,0.000136,0.000136,0.066032,0
3.6882e+20,1,0.00014,0.00014,0.066032,0
3.6806e+20,1,0.000144,0.000144,0.066032,0
3.6729e+20,1,0.000148,0.000148,0.066032,0
3.6652e+20,1,0.000152,0.000152,0.066032,0
3.6575e+20,1,0.000156,0.000156,0.066032,0
3.6498e+20,1,0.00016,0.00016,0.066032,0
3.6421e+20,1,0.000164,0.000164,0.066032,0
3.6344e+20,1,0.000168,0.000168,0.066032,0
3.6268e+20,1,0.000172,0.000172,0.066032,0
3.6191e+20,1,0.000176,0.000176,0.066032,0
3.6114e+20,1,0.00018,0.00018,0.066032,0
3.6037e+20,1,0.000184,0.000184,0.066032,0
3.596e+20,1,0.000188,0.000188,0.066032,0
3.5883e+20,1,0.000192,0.000192,0.066032,0
