"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0,0.1145,0
2.268e+22,1,4e-06,4e-06,0.1145,0
2.2379e+22,1,8e-06,8e-06,0.1145,0
2.2078e+22,1,1.2e-05,1.2e-05,0.1145,0
2.1776e+22,1,1.6e-05,1.6e-05,0.1145,0
2.1475e+22,1,2e-05,2e-05,0.1145,0
2.1166e+22,1,2.4e-05,2.4e-05,0.1145,0
2.0864e+22,1,2.8e-05,2.8e-05,0.1145,0
2.0562e+22,1,3.2e-05,3.2e-05,0.1145,0
2.026e+22,1,3.6e-05,3.6e-05,0.1145,0
1.9958e+22,1,4e-05,4e-05,0.1145,0
1.9656e+22,1,4.4e-05,4.4e-05,0.1145,0
1.9354e+22,1,4.8e-05,4.8e-05,0.1145,0
1.9053e+22,1,5.2e-05,5.2e-05,0.1145,0
1.8751e+22,1,5.6e-05,5.6e-05,0.1145,0
1.8449e+22,1,6e-05,6e-05,0.1145,0
1.8147e+22,1,6.4e-05,6.4e-05,0.1145,0
1.7845e+22,1,6.8e-05,6.8e-05,0.1145,0
1.7543e+22,1,7.2e-05,7.2e-05,0.1145,0
1.7241e+22,1,7.6e-05,7.6e-05,0.1145,0
1.6939e+22,1,8e-05,8e-05,0.1145,0
1.6637e+22,1,8.4e-05,8.4e-05,0.1145,0
1.6336e+22,1,8.8e-05,8.8e-05,0.1145,0
1.6034e+22,1,9.2e-05,9.2e-05,0.1145,0
1.5732e+22,1,9.6e-05,9.6e-05,0.1145,0
1.543e+22,1,0.0001,0.0001,0.1145,0
1.5128e+22,1,0.000104,0.000104,0.1145,0
1.4826e+22,1,0.000108,0.000108,0.1145,0
1.4524e+22,1,0.000112,0.000112,0.1145,0
1.4222e+22,1,0.000116,0.000116,0.1145,0
1.392e+22,1,0.00012,0.00012,0.1145,0
1.3618e+22,1,0.000124,0.000124,0.1145,0
1.3317e+22,1,0.000128,0.000128,0.1145,0
1.3078e+22,1,0.000132,0.000132,0.1145,0
1.285e+22,1,0.000136,0.000136,0.1145,0
1.2622e+22,1,0.00014,0.00014,0.1145,0
1.2393e+22,1,0.000144,0.000144,0.1145,0
1.2165e+22,1,0.000148,0.000148,0.1145,0
1.1937e+22,1,0.000152,0.000152,0.1145,0
1.1708e+22,1,0.000156,0.000156,0.1145,0
1.148e+22,1,0.00016,0.00016,0.1145,0
1.1252e+22,1,0.000164,0.000164,0.1145,0
1.1024e+22,1,0.000168,0.000168,0.1145,0
1.0795e+22,1,0.000172,0.000172,0.1145,0
1.0567e+22,1,0.000176,0.000176,0.1145,0
1.0339e+22,1,0.00018,0.00018,0.1145,0
1.0111e+22,1,0.000184,0.000184,0.1145,0
9.8825e+21,1,0.000188,0.000188,0.1145,0
9.6542e+21,1,0.000192,0.000192,0.1145,0
9.426e+21,1,0.000196,0.000196,0.1145,0
9.1977e+21,1,0.0002,0.0002,0.1145,0
8.9695e+21,1,0.000204,0.000204,0.1145,0
8.7412e+21,1,0.000208,0.000208,0.1145,0
8.5129e+21,1,0.000212,0.000212,0.1145,0
8.2847e+21,1,0.000216,0.000216,0.1145,0
8.0564e+21,1,0.00022,0.00022,0.1145,0
7.8282e+21,1,0.000224,0.000224,0.1145,0
7.5999e+21,1,0.000228,0.000228,0.1145,0
7.3754e+21,1,0.000232,0.000232,0.1145,0
7.1481e+21,1,0.000236,0.000236,0.1145,0
6.9209e+21,1,0.00024,0.00024,0.1145,0
6.6936e+21,1,0.000244,0.000244,0.1145,0
6.4664e+21,1,0.000248,0.000248,0.1145,0
6.2391e+21,1,0.000252,0.000252,0.1145,0
6.0119e+21,1,0.000256,0.000256,0.1145,0
5.7911e+21,1,0.00026,0.00026,0.1145,0
5.6677e+21,1,0.000264,0.000264,0.1145,0
5.5442e+21,1,0.000268,0.000268,0.1145,0
5.4208e+21,1,0.000272,0.000272,0.1145,0
5.2974e+21,1,0.000276,0.000276,0.1145,0
