"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0,0.066032,0
7.2125e+21,1,4e-06,4e-06,0.066032,0
7.1997e+21,1,8e-06,8e-06,0.066032,0
7.1868e+21,1,1.2e-05,1.2e-05,0.066032,0
7.1738e+21,1,1.6e-05,1.6e-05,0.066032,0
7.161e+21,1,2e-05,2e-05,0.066032,0
7.1482e+21,1,2.4e-05,2.4e-05,0.066032,0
7.1354e+21,1,2.8e-05,2.8e-05,0.066032,0
7.1226e+21,1,3.2e-05,3.2e-05,0.066032,0
7.1099e+21,1,3.6e-05,3.6e-05,0.066032,0
7.0971e+21,1,4e-05,4e-05,0.066032,0
7.0843e+21,1,4.4e-05,4.4e-05,0.066032,0
7.0715e+21,1,4.8e-05,4.8e-05,0.066032,0
7.0587e+21,1,5.2e-05,5.2e-05,0.066032,0
7.046e+21,1,5.6e-05,5.6e-05,0.066032,0
7.0332e+21,1,6e-05,6e-05,0.066032,0
7.0204e+21,1,6.4e-05,6.4e-05,0.066032,0
7.0076e+21,1,6.8e-05,6.8e-05,0.066032,0
6.9948e+21,1,7.2e-05,7.2e-05,0.066032,0
6.9821e+21,1,7.6e-05,7.6e-05,0.066032,0
6.9693e+21,1,8e-05,8e-05,0.066032,0
6.9565e+21,1,8.4e-05,8.4e-05,0.066032,0
6.9437e+21,1,8.8e-05,8.8e-05,0.066032,0
6.9309e+21,1,9.2e-05,9.2e-05,0.066032,0
6.9182e+21,1,9.6e-05,9.6e-05,0.066032,0
6.9054e+21,1,0.0001,0.0001,0.066032,0
6.8926e+21,1,0.000104,0.000104,0.066032,0
6.8798e+21,1,0.000108,0.000108,0.066032,0
6.867e+21,1,0.000112,0.000112,0.066032,0
6.8543e+21,1,0.000116,0.000116,0.066032,0
6.8415e+21,1,0.00012,0.00012,0.066032,0
6.8287e+21,1,0.000124,0.000124,0.066032,0
6.8159e+21,1,0.000128,0.000128,0.066032,0
6.8031e+21,1,0.000132,0.000132,0.066032,0
6.79e+21,1,0.000136,0.000136,0.066032,0
6.7769e+21,1,0.00014,0.00014,0.066032,0
6.7639e+21,1,0.000144,0.000144,0.066032,0
6.7508e+21,1,0.000148,0.000148,0.066032,0
6.7378e+21,1,0.000152,0.000152,0.066032,0
6.7247e+21,1,0.000156,0.000156,0.066032,0
6.7116e+21,1,0.00016,0.00016,0.066032,0
6.6986e+21,1,0.000164,0.000164,0.066032,0
6.6855e+21,1,0.000168,0.000168,0.066032,0
6.6725e+21,1,0.000172,0.000172,0.066032,0
6.6594e+21,1,0.000176,0.000176,0.066032,0
6.6463e+21,1,0.00018,0.00018,0.066032,0
6.6333e+21,1,0.000184,0.000184,0.066032,0
6.6202e+21,1,0.000188,0.000188,0.066032,0
6.6071e+21,1,0.000192,0.000192,0.066032,0
6.5941e+21,1,0.000196,0.000196,0.066032,0
6.581e+21,1,0.0002,0.0002,0.066032,0
6.568e+21,1,0.000204,0.000204,0.066032,0
6.5549e+21,1,0.000208,0.000208,0.066032,0
6.5418e+21,1,0.000212,0.000212,0.066032,0
6.5288e+21,1,0.000216,0.000216,0.066032,0
6.5157e+21,1,0.00022,0.00022,0.066032,0
6.5027e+21,1,0.000224,0.000224,0.066032,0
6.4896e+21,1,0.000228,0.000228,0.066032,0
6.4765e+21,1,0.000232,0.000232,0.066032,0
6.4635e+21,1,0.000236,0.000236,0.066032,0
6.4504e+21,1,0.00024,0.00024,0.066032,0
6.4373e+21,1,0.000244,0.000244,0.066032,0
6.4243e+21,1,0.000248,0.000248,0.066032,0
6.4115e+21,1,0.000252,0.000252,0.066032,0
6.3985e+21,1,0.000256,0.000256,0.066032,0
6.3855e+21,1,0.00026,0.00026,0.066032,0
6.3723e+21,1,0.000264,0.000264,0.066032,0
6.359e+21,1,0.000268,0.000268,0.066032,0
6.3457e+21,1,0.000272,0.000272,0.066032,0
6.3321e+21,1,0.000276,0.000276,0.066032,0
6.3188e+21,1,0.00028,0.00028,0.066032,0
6.3056e+21,1,0.000284,0.000284,0.066032,0
6.2923e+21,1,0.000288,0.000288,0.066032,0
6.279e+21,1,0.000292,0.000292,0.066032,0
6.2658e+21,1,0.000296,0.000296,0.066032,0
6.2525e+21,1,0.0003,0.0003,0.066032,0
6.2392e+21,1,0.000304,0.000304,0.066032,0
6.226e+21,1,0.000308,0.000308,0.066032,0
6.2127e+21,1,0.000312,0.000312,0.066032,0
6.1994e+21,1,0.000316,0.000316,0.066032,0
6.1862e+21,1,0.00032,0.00032,0.066032,0
6.1729e+21,1,0.000324,0.000324,0.066032,0
6.1596e+21,1,0.000328,0.000328,0.066032,0
6.1464e+21,1,0.000332,0.000332,0.066032,0
6.1331e+21,1,0.000336,0.000336,0.066032,0
6.1198e+21,1,0.00034,0.00034,0.066032,0
6.1066e+21,1,0.000344,0.000344,0.066032,0
6.0933e+21,1,0.000348,0.000348,0.066032,0
6.08e+21,1,0.000352,0.000352,0.066032,0
6.0668e+21,1,0.000356,0.000356,0.066032,0
6.0535e+21,1,0.00036,0.00036,0.066032,0
6.0403e+21,1,0.000364,0.000364,0.066032,0
6.027e+21,1,0.000368,0.000368,0.066032,0
6.0137e+21,1,0.000372,0.000372,0.066032,0
6.0005e+21,1,0.000376,0.000376,0.066032,0
5.9872e+21,1,0.00038,0.00038,0.066032,0
5.9739e+21,1,0.000384,0.000384,0.066032,0
5.9607e+21,1,0.000388,0.000388,0.066032,0
5.9474e+21,1,0.000392,0.000392,0.066032,0
5.934e+21,1,0.000396,0.000396,0.066032,0
5.9205e+21,1,0.0004,0.0004,0.066032,0
5.9069e+21,1,0.000404,0.000404,0.066032,0
5.8934e+21,1,0.000408,0.000408,0.066032,0
5.8799e+21,1,0.000412,0.000412,0.066032,0
5.8663e+21,1,0.000416,0.000416,0.066032,0
5.8528e+21,1,0.00042,0.00042,0.066032,0
5.8392e+21,1,0.000424,0.000424,0.066032,0
5.8257e+21,1,0.000428,0.000428,0.066032,0
5.8122e+21,1,0.000432,0.000432,0.066032,0
5.7986e+21,1,0.000436,0.000436,0.066032,0
5.7851e+21,1,0.00044,0.00044,0.066032,0
5.7716e+21,1,0.000444,0.000444,0.066032,0
5.758e+21,1,0.000448,0.000448,0.066032,0
5.7445e+21,1,0.000452,0.000452,0.066032,0
5.7309e+21,1,0.000456,0.000456,0.066032,0
5.7174e+21,1,0.00046,0.00046,0.066032,0
5.7039e+21,1,0.000464,0.000464,0.066032,0
