"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2917e+22,1,0,0.031,0.1145,0
1.2912e+22,1,1.9001e-05,0.031019,0.1145,0
1.2906e+22,1,3.8e-05,0.031038,0.1145,0
1.2901e+22,1,5.7001e-05,0.031057,0.1145,0
1.2895e+22,1,7.6e-05,0.031076,0.1145,0
1.289e+22,1,9.5e-05,0.031095,0.1145,0
1.2885e+22,1,0.000114,0.031114,0.1145,0
1.2879e+22,1,0.000133,0.031133,0.1145,0
1.2874e+22,1,0.000152,0.031152,0.1145,0
1.2868e+22,1,0.000171,0.031171,0.1145,0
1.2863e+22,1,0.00019,0.03119,0.1145,0
1.2858e+22,1,0.000209,0.031209,0.1145,0
1.2852e+22,1,0.000228,0.031228,0.1145,0
1.2847e+22,1,0.000247,0.031247,0.1145,0
1.2839e+22,1,0.000266,0.031266,0.1145,0
1.2832e+22,1,0.000285,0.031285,0.1145,0
1.2824e+22,1,0.000304,0.031304,0.1145,0
1.2816e+22,1,0.000323,0.031323,0.1145,0
1.2808e+22,1,0.000342,0.031342,0.1145,0
1.2801e+22,1,0.000361,0.031361,0.1145,0
1.2793e+22,1,0.00038,0.03138,0.1145,0
1.2785e+22,1,0.000399,0.031399,0.1145,0
1.2777e+22,1,0.000418,0.031418,0.1145,0
1.2769e+22,1,0.000437,0.031437,0.1145,0
1.2762e+22,1,0.000456,0.031456,0.1145,0
1.2754e+22,1,0.000475,0.031475,0.1145,0
1.2746e+22,1,0.000494,0.031494,0.1145,0
1.2738e+22,1,0.000513,0.031513,0.1145,0
1.2731e+22,1,0.000532,0.031532,0.1145,0
1.2723e+22,1,0.000551,0.031551,0.1145,0
1.2715e+22,1,0.00057,0.03157,0.1145,0
1.2708e+22,1,0.000589,0.031589,0.1145,0
1.2699e+22,1,0.000608,0.031608,0.1145,0
1.2689e+22,1,0.000627,0.031627,0.1145,0
1.2679e+22,1,0.000646,0.031646,0.1145,0
1.2668e+22,1,0.000665,0.031665,0.1145,0
1.2658e+22,1,0.000684,0.031684,0.1145,0
1.2648e+22,1,0.000703,0.031703,0.1145,0
1.2637e+22,1,0.000722,0.031722,0.1145,0
1.2627e+22,1,0.000741,0.031741,0.1145,0
1.2617e+22,1,0.00076,0.03176,0.1145,0
1.2606e+22,1,0.000779,0.031779,0.1145,0
1.2596e+22,1,0.000798,0.031798,0.1145,0
1.2586e+22,1,0.000817,0.031817,0.1145,0
1.2576e+22,1,0.000836,0.031836,0.1145,0
1.2565e+22,1,0.000855,0.031855,0.1145,0
1.2555e+22,1,0.000874,0.031874,0.1145,0
1.2545e+22,1,0.000893,0.031893,0.1145,0
1.2534e+22,1,0.000912,0.031912,0.1145,0
1.2522e+22,1,0.000931,0.031931,0.1145,0
1.2509e+22,1,0.00095,0.03195,0.1145,0
1.2496e+22,1,0.000969,0.031969,0.1145,0
1.2483e+22,1,0.000988,0.031988,0.1145,0
1.247e+22,1,0.001007,0.032007,0.1145,0
1.2457e+22,1,0.001026,0.032026,0.1145,0
1.2444e+22,1,0.001045,0.032045,0.1145,0
1.2431e+22,1,0.001064,0.032064,0.1145,0
1.2418e+22,1,0.001083,0.032083,0.1145,0
1.2405e+22,1,0.001102,0.032102,0.1145,0
1.2392e+22,1,0.001121,0.032121,0.1145,0
1.2379e+22,1,0.00114,0.03214,0.1145,0
1.2366e+22,1,0.001159,0.032159,0.1145,0
1.2352e+22,1,0.001178,0.032178,0.1145,0
1.2339e+22,1,0.001197,0.032197,0.1145,0
1.2322e+22,1,0.001216,0.032216,0.1145,0
1.2306e+22,1,0.001235,0.032235,0.1145,0
1.229e+22,1,0.001254,0.032254,0.1145,0
1.2273e+22,1,0.001273,0.032273,0.1145,0
1.2257e+22,1,0.001292,0.032292,0.1145,0
1.2241e+22,1,0.001311,0.032311,0.1145,0
1.2225e+22,1,0.00133,0.03233,0.1145,0
1.2209e+22,1,0.001349,0.032349,0.1145,0
1.2193e+22,1,0.001368,0.032368,0.1145,0
1.2177e+22,1,0.001387,0.032387,0.1145,0
1.2161e+22,1,0.001406,0.032406,0.1145,0
1.2145e+22,1,0.001425,0.032425,0.1145,0
1.2128e+22,1,0.001444,0.032444,0.1145,0
1.2112e+22,1,0.001463,0.032463,0.1145,0
1.2092e+22,1,0.001482,0.032482,0.1145,0
1.2073e+22,1,0.001501,0.032501,0.1145,0
1.2053e+22,1,0.00152,0.03252,0.1145,0
1.2033e+22,1,0.001539,0.032539,0.1145,0
1.2014e+22,1,0.001558,0.032558,0.1145,0
1.1994e+22,1,0.001577,0.032577,0.1145,0
1.1974e+22,1,0.001596,0.032596,0.1145,0
1.1955e+22,1,0.001615,0.032615,0.1145,0
1.1935e+22,1,0.001634,0.032634,0.1145,0
1.1916e+22,1,0.001653,0.032653,0.1145,0
1.1896e+22,1,0.001672,0.032672,0.1145,0
1.1876e+22,1,0.001691,0.032691,0.1145,0
1.1854e+22,1,0.00171,0.03271,0.1145,0
1.1831e+22,1,0.001729,0.032729,0.1145,0
1.1807e+22,1,0.001748,0.032748,0.1145,0
1.1784e+22,1,0.001767,0.032767,0.1145,0
1.1761e+22,1,0.001786,0.032786,0.1145,0
1.1737e+22,1,0.001805,0.032805,0.1145,0
1.1714e+22,1,0.001824,0.032824,0.1145,0
1.1691e+22,1,0.001843,0.032843,0.1145,0
1.1668e+22,1,0.001862,0.032862,0.1145,0
1.1644e+22,1,0.001881,0.032881,0.1145,0
1.1621e+22,1,0.0019,0.0329,0.1145,0
1.1596e+22,1,0.001919,0.032919,0.1145,0
1.1568e+22,1,0.001938,0.032938,0.1145,0
1.1541e+22,1,0.001957,0.032957,0.1145,0
1.1514e+22,1,0.001976,0.032976,0.1145,0
1.1487e+22,1,0.001995,0.032995,0.1145,0
1.1459e+22,1,0.002014,0.033014,0.1145,0
1.1432e+22,1,0.002033,0.033033,0.1145,0
1.1405e+22,1,0.002052,0.033052,0.1145,0
1.1378e+22,1,0.002071,0.033071,0.1145,0
1.1351e+22,1,0.00209,0.03309,0.1145,0
1.1322e+22,1,0.002109,0.033109,0.1145,0
1.1291e+22,1,0.002128,0.033128,0.1145,0
1.1259e+22,1,0.002147,0.033147,0.1145,0
1.1228e+22,1,0.002166,0.033166,0.1145,0
1.1196e+22,1,0.002185,0.033185,0.1145,0
1.1164e+22,1,0.002204,0.033204,0.1145,0
1.1133e+22,1,0.002223,0.033223,0.1145,0
1.1102e+22,1,0.002242,0.033242,0.1145,0
1.107e+22,1,0.002261,0.033261,0.1145,0
