"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2857e+22,1,0,0.031,0.1145,0
1.2855e+22,1,5.5004e-06,0.031005,0.1145,0
1.2854e+22,1,1.1001e-05,0.031011,0.1145,0
1.2852e+22,1,1.6501e-05,0.031017,0.1145,0
1.2851e+22,1,2.2e-05,0.031022,0.1145,0
1.2849e+22,1,2.75e-05,0.031027,0.1145,0
1.2848e+22,1,3.3e-05,0.031033,0.1145,0
1.2847e+22,1,3.8501e-05,0.031039,0.1145,0
1.2845e+22,1,4.4001e-05,0.031044,0.1145,0
1.2844e+22,1,4.95e-05,0.031049,0.1145,0
1.2842e+22,1,5.5e-05,0.031055,0.1145,0
1.2841e+22,1,6.0501e-05,0.031061,0.1145,0
1.2839e+22,1,6.6001e-05,0.031066,0.1145,0
1.2838e+22,1,7.1501e-05,0.031072,0.1145,0
1.2836e+22,1,7.7e-05,0.031077,0.1145,0
1.2835e+22,1,8.25e-05,0.031082,0.1145,0
1.2833e+22,1,8.8001e-05,0.031088,0.1145,0
1.2832e+22,1,9.3501e-05,0.031094,0.1145,0
1.283e+22,1,9.9e-05,0.031099,0.1145,0
1.2829e+22,1,0.0001045,0.031104,0.1145,0
1.2827e+22,1,0.00011,0.03111,0.1145,0
1.2826e+22,1,0.0001155,0.031116,0.1145,0
1.2824e+22,1,0.000121,0.031121,0.1145,0
1.2823e+22,1,0.0001265,0.031126,0.1145,0
1.2821e+22,1,0.000132,0.031132,0.1145,0
1.282e+22,1,0.0001375,0.031137,0.1145,0
1.2818e+22,1,0.000143,0.031143,0.1145,0
1.2817e+22,1,0.0001485,0.031149,0.1145,0
1.2816e+22,1,0.000154,0.031154,0.1145,0
1.2814e+22,1,0.0001595,0.031159,0.1145,0
1.2813e+22,1,0.000165,0.031165,0.1145,0
1.2811e+22,1,0.0001705,0.031171,0.1145,0
1.281e+22,1,0.000176,0.031176,0.1145,0
1.2808e+22,1,0.0001815,0.031181,0.1145,0
1.2807e+22,1,0.000187,0.031187,0.1145,0
1.2805e+22,1,0.0001925,0.031193,0.1145,0
1.2804e+22,1,0.000198,0.031198,0.1145,0
1.2802e+22,1,0.0002035,0.031204,0.1145,0
1.2801e+22,1,0.000209,0.031209,0.1145,0
1.2799e+22,1,0.0002145,0.031214,0.1145,0
1.2798e+22,1,0.00022,0.03122,0.1145,0
1.2796e+22,1,0.0002255,0.031226,0.1145,0
1.2795e+22,1,0.000231,0.031231,0.1145,0
1.2793e+22,1,0.0002365,0.031236,0.1145,0
1.2792e+22,1,0.000242,0.031242,0.1145,0
1.279e+22,1,0.0002475,0.031248,0.1145,0
1.2789e+22,1,0.000253,0.031253,0.1145,0
1.2786e+22,1,0.0002585,0.031259,0.1145,0
1.2784e+22,1,0.000264,0.031264,0.1145,0
1.2782e+22,1,0.0002695,0.031269,0.1145,0
1.278e+22,1,0.000275,0.031275,0.1145,0
1.2778e+22,1,0.0002805,0.03128,0.1145,0
1.2776e+22,1,0.000286,0.031286,0.1145,0
1.2774e+22,1,0.0002915,0.031291,0.1145,0
1.2772e+22,1,0.000297,0.031297,0.1145,0
1.277e+22,1,0.0003025,0.031303,0.1145,0
1.2767e+22,1,0.000308,0.031308,0.1145,0
1.2765e+22,1,0.0003135,0.031314,0.1145,0
1.2763e+22,1,0.000319,0.031319,0.1145,0
1.2761e+22,1,0.0003245,0.031324,0.1145,0
1.2759e+22,1,0.00033,0.03133,0.1145,0
1.2757e+22,1,0.0003355,0.031335,0.1145,0
1.2755e+22,1,0.000341,0.031341,0.1145,0
1.2753e+22,1,0.0003465,0.031346,0.1145,0
1.2751e+22,1,0.000352,0.031352,0.1145,0
1.2748e+22,1,0.0003575,0.031358,0.1145,0
1.2746e+22,1,0.000363,0.031363,0.1145,0
1.2744e+22,1,0.0003685,0.031369,0.1145,0
1.2742e+22,1,0.000374,0.031374,0.1145,0
1.274e+22,1,0.0003795,0.031379,0.1145,0
1.2738e+22,1,0.000385,0.031385,0.1145,0
1.2736e+22,1,0.0003905,0.03139,0.1145,0
1.2734e+22,1,0.000396,0.031396,0.1145,0
1.2732e+22,1,0.0004015,0.031402,0.1145,0
1.2729e+22,1,0.000407,0.031407,0.1145,0
1.2727e+22,1,0.0004125,0.031413,0.1145,0
1.2725e+22,1,0.000418,0.031418,0.1145,0
1.2723e+22,1,0.0004235,0.031424,0.1145,0
1.2721e+22,1,0.000429,0.031429,0.1145,0
1.2719e+22,1,0.0004345,0.031434,0.1145,0
1.2717e+22,1,0.00044,0.03144,0.1145,0
