"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0122e+23,1,0,0.031,0.1145,0
4.0081e+23,1,1.9001e-05,0.031019,0.1145,0
4.004e+23,1,3.8e-05,0.031038,0.1145,0
4e+23,1,5.7001e-05,0.031057,0.1145,0
3.996e+23,1,7.6e-05,0.031076,0.1145,0
3.992e+23,1,9.5e-05,0.031095,0.1145,0
3.988e+23,1,0.000114,0.031114,0.1145,0
3.9839e+23,1,0.000133,0.031133,0.1145,0
3.9799e+23,1,0.000152,0.031152,0.1145,0
3.9759e+23,1,0.000171,0.031171,0.1145,0
3.9719e+23,1,0.00019,0.03119,0.1145,0
3.9679e+23,1,0.000209,0.031209,0.1145,0
3.9638e+23,1,0.000228,0.031228,0.1145,0
3.9598e+23,1,0.000247,0.031247,0.1145,0
3.9551e+23,1,0.000266,0.031266,0.1145,0
3.9503e+23,1,0.000285,0.031285,0.1145,0
3.9454e+23,1,0.000304,0.031304,0.1145,0
3.9406e+23,1,0.000323,0.031323,0.1145,0
3.9357e+23,1,0.000342,0.031342,0.1145,0
3.9309e+23,1,0.000361,0.031361,0.1145,0
3.926e+23,1,0.00038,0.03138,0.1145,0
3.9212e+23,1,0.000399,0.031399,0.1145,0
3.9163e+23,1,0.000418,0.031418,0.1145,0
3.9115e+23,1,0.000437,0.031437,0.1145,0
3.9066e+23,1,0.000456,0.031456,0.1145,0
3.9018e+23,1,0.000475,0.031475,0.1145,0
3.8969e+23,1,0.000494,0.031494,0.1145,0
3.8921e+23,1,0.000513,0.031513,0.1145,0
3.8873e+23,1,0.000532,0.031532,0.1145,0
3.8826e+23,1,0.000551,0.031551,0.1145,0
3.8779e+23,1,0.00057,0.03157,0.1145,0
3.8731e+23,1,0.000589,0.031589,0.1145,0
3.8681e+23,1,0.000608,0.031608,0.1145,0
3.8625e+23,1,0.000627,0.031627,0.1145,0
3.857e+23,1,0.000646,0.031646,0.1145,0
3.8514e+23,1,0.000665,0.031665,0.1145,0
3.8459e+23,1,0.000684,0.031684,0.1145,0
3.8404e+23,1,0.000703,0.031703,0.1145,0
3.8349e+23,1,0.000722,0.031722,0.1145,0
3.8295e+23,1,0.000741,0.031741,0.1145,0
3.824e+23,1,0.00076,0.03176,0.1145,0
3.8185e+23,1,0.000779,0.031779,0.1145,0
3.813e+23,1,0.000798,0.031798,0.1145,0
3.8075e+23,1,0.000817,0.031817,0.1145,0
3.802e+23,1,0.000836,0.031836,0.1145,0
3.7965e+23,1,0.000855,0.031855,0.1145,0
3.7911e+23,1,0.000874,0.031874,0.1145,0
3.7856e+23,1,0.000893,0.031893,0.1145,0
3.7801e+23,1,0.000912,0.031912,0.1145,0
3.774e+23,1,0.000931,0.031931,0.1145,0
3.7677e+23,1,0.00095,0.03195,0.1145,0
3.7615e+23,1,0.000969,0.031969,0.1145,0
3.7553e+23,1,0.000988,0.031988,0.1145,0
3.7491e+23,1,0.001007,0.032007,0.1145,0
3.7429e+23,1,0.001026,0.032026,0.1145,0
3.7366e+23,1,0.001045,0.032045,0.1145,0
3.7304e+23,1,0.001064,0.032064,0.1145,0
3.7242e+23,1,0.001083,0.032083,0.1145,0
3.718e+23,1,0.001102,0.032102,0.1145,0
3.7118e+23,1,0.001121,0.032121,0.1145,0
3.7055e+23,1,0.00114,0.03214,0.1145,0
3.6994e+23,1,0.001159,0.032159,0.1145,0
3.6932e+23,1,0.001178,0.032178,0.1145,0
3.6868e+23,1,0.001197,0.032197,0.1145,0
3.6799e+23,1,0.001216,0.032216,0.1145,0
3.673e+23,1,0.001235,0.032235,0.1145,0
3.666e+23,1,0.001254,0.032254,0.1145,0
3.6591e+23,1,0.001273,0.032273,0.1145,0
3.6522e+23,1,0.001292,0.032292,0.1145,0
3.6453e+23,1,0.001311,0.032311,0.1145,0
3.6385e+23,1,0.00133,0.03233,0.1145,0
3.6317e+23,1,0.001349,0.032349,0.1145,0
3.6248e+23,1,0.001368,0.032368,0.1145,0
3.618e+23,1,0.001387,0.032387,0.1145,0
3.6111e+23,1,0.001406,0.032406,0.1145,0
