"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.6623e-23,-7.9062e-28,0,1,0,0.2835,0,0
2.7015e-24,3.6023e-29,0,1,0.00013206,0.2835,0.00013206,0
2.9103e-23,4.7881e-28,0,1,0.00026413,0.2835,0.00026413,0
3.1373e-23,5.1447e-28,0,1,0.00039619,0.2835,0.00039619,0
1.3128e-23,2.1268e-28,0,1,0.00052826,0.2835,0.00052826,0
-2.8067e-23,-4.7367e-28,0,1,0.00066032,0.2835,0.00066032,0
-7.369e-23,-1.2226e-27,0,1,0.00079239,0.2835,0.00079239,0
-1.3743e-22,-2.2957e-27,0,1,0.00092445,0.2835,0.00092445,0
-4.5123e-23,-6.5944e-28,0,1,0.0010565,0.2835,0.0010565,0
9.8222e-23,1.838e-27,0,1,0.0011886,0.2835,0.0011886,0
1.5255e-22,2.7407e-27,0,1,0.0013206,0.2835,0.0013206,0
1.4113e-22,2.4621e-27,0,1,0.0014527,0.2835,0.0014527,0
7.9553e-23,1.3247e-27,0,1,0.0015848,0.2835,0.0015848,0
-5.9727e-23,-1.1175e-27,0,1,0.0017168,0.2835,0.0017168,0
-2.7663e-22,-4.8629e-27,0,1,0.0018489,0.2835,0.0018489,0
-5.7124e-22,-9.9134e-27,0,1,0.001981,0.2835,0.001981,0
-3.6084e-23,-1.1181e-27,0,1,0.002113,0.2835,0.002113,0
7.3773e-22,1.1815e-26,0,1,0.0022451,0.2835,0.0022451,0
8.9244e-22,1.4613e-26,0,1,0.0023772,0.2835,0.0023772,0
4.8976e-22,8.3261e-27,0,1,0.0025092,0.2835,0.0025092,0
-1.7832e-22,-2.3358e-27,0,1,0.0026413,0.2835,0.0026413,0
-1.0573e-21,-1.7107e-26,0,1,0.0027734,0.2835,0.0027734,0
-2.4548e-21,-4.1233e-26,0,1,0.0029054,0.2835,0.0029054,0
-3.1547e-21,-5.3098e-26,0,1,0.0030375,0.2835,0.0030375,0
2.6752e-21,5.2407e-26,0,1,0.0031695,0.2835,0.0031695,0
4.6575e-21,9.207e-26,0,1,0.0033016,0.2835,0.0033016,0
2.7301e-21,6.5187e-26,0,1,0.0034337,0.2835,0.0034337,0
-2.4875e-21,-2.0141e-26,0,1,0.0035657,0.2835,0.0035657,0
-6.654e-21,-1.0521e-25,0,1,0.0036978,0.2835,0.0036978,0
-1.2226e-20,-2.2444e-25,0,1,0.0038299,0.2835,0.0038299,0
-2.417e-20,-3.985e-25,0,1,0.0039619,0.2835,0.0039619,0
-1.1678e-06,-1.6441e-12,0,1,0.004094,0.2835,0.004094,0
-2.8025e-06,-8.7891e-12,0,1,0.0042261,0.2835,0.0042261,0
-4.43e-06,-2.1562e-11,0,1,0.0043581,0.2835,0.0043581,0
-6.0505e-06,-3.9957e-11,0,1,0.0044902,0.2835,0.0044902,0
-7.6638e-06,-6.4334e-11,0,1,0.0046223,0.2835,0.0046223,0
-9.2701e-06,-9.4777e-11,0,1,0.0047543,0.2835,0.0047543,0
-1.0869e-05,-1.3129e-10,0,1,0.0048864,0.2835,0.0048864,0
-1.2461e-05,-1.7384e-10,0,1,0.0050184,0.2835,0.0050184,0
-1.4046e-05,-2.2221e-10,0,1,0.0051505,0.2835,0.0051505,0
-1.5624e-05,-2.7666e-10,0,1,0.0052826,0.2835,0.0052826,0
-1.7195e-05,-3.3734e-10,0,1,0.0054146,0.2835,0.0054146,0
-1.8758e-05,-4.0425e-10,0,1,0.0055467,0.2835,0.0055467,0
-2.0315e-05,-4.774e-10,0,1,0.0056788,0.2835,0.0056788,0
-2.1864e-05,-5.5672e-10,0,1,0.0058108,0.2835,0.0058108,0
-2.3406e-05,-6.4196e-10,0,1,0.0059429,0.2835,0.0059429,0
-2.4942e-05,-7.3307e-10,0,1,0.006075,0.2835,0.006075,0
-2.647e-05,-8.3081e-10,0,1,0.006207,0.2835,0.006207,0
-2.7991e-05,-9.3485e-10,0,1,0.0063391,0.2835,0.0063391,0
-2.9505e-05,-1.0449e-09,0,1,0.0064712,0.2835,0.0064712,0
-3.1011e-05,-1.1611e-09,0,1,0.0066032,0.2835,0.0066032,0
-3.2511e-05,-1.2834e-09,0,1,0.0067353,0.2835,0.0067353,0
-3.4003e-05,-1.4118e-09,0,1,0.0068674,0.2835,0.0068674,0
